participant,item,keyed,text,answer,score
P19,E2,minus,I avoid crowds,Very Accurate,0
P19,E3,plus,I  take charge,Neither Accurate Nor Inaccurate,0
P19,E3,plus,I try to lead others,Moderately Inaccurate,0
P19,E4,plus,I am always busy,Very Accurate,0
P19,E4,plus,I am always on the go,Moderately Accurate,0
P19,E5,plus,I love excitement,Moderately Accurate,0
P19,E5,plus,I seek adventure,Moderately Accurate,0
P19,E6,plus,I have a lot of fun,Moderately Accurate,0
P19,E6,plus,I love life,Very Accurate,0
P20,E1,plus,I make friends easily,Neither Accurate Nor Inaccurate,0
P20,E1,plus,I act comfortably with others,Moderately Accurate,0
P20,E2,plus,I love large parties,Moderately Inaccurate,0
P20,E2,minus,I avoid crowds,Moderately Accurate,0
P20,E3,plus,I  take charge,Neither Accurate Nor Inaccurate,0
P20,E3,plus,I try to lead others,Very Inaccurate,0
P20,E4,plus,I am always busy,Moderately Accurate,0
P20,E4,plus,I am always on the go,Very Accurate,0
P20,E5,plus,I love excitement,Very Accurate,0
P20,E5,plus,I seek adventure,Very Accurate,0
P20,E6,plus,I have a lot of fun,Very Accurate,0
P20,E6,plus,I love life,Very Accurate,0
