modality,person,subtask
Touch,P7,remove tag
Speech,P7,remove tag
Touch,P7,open document
Touch,P7,open document
Touch,P7,open document
Touch,P8,open document
Touch,P8,close document
Touch,P7,open document
Touch,P7,select document
Touch,P7,assign tag
Touch,P7,close document
Touch,P8,mark sentence
Touch,P8,clear sentence
Touch,P8,close document
Touch,P8,open document
Touch,P7,close document
Touch,P7,open document
Touch,P7,move document
Touch,P7,move document
Speech,P8,search
Touch,P7,close document
Touch,P7,open document
Touch,P7,move document
Touch,P7,move document
Touch,P7,move document
Touch,P7,open document
Touch,P7,move document
Touch,P7,close document
Touch,P7,move document
Touch,P7,close document
Touch,P7,open document
Speech,P8,search
Touch,P8,close document
Touch,P8,close document
Touch,P8,close document
Touch,P8,open document
Touch,P7,close document
Touch,P7,open document
Touch,P8,move document
Touch,P8,move document
Touch,P7,close document
Touch,P7,open document
Touch,P7,close document
Touch,P7,open document
Speech,P8,search
Speech,P8,search
Speech,P8,search
Speech,P7,search
Touch,P8,open document
Touch,P8,close document
Touch,P7,close document
Touch,P8,close document
Touch,P8,open document
Touch,P8,open document
Touch,P8,close document
Touch,P8,move document
Touch,P8,open document
Speech,P8,search
Speech,P8,search
Speech,P7,search
Speech,P8,search
Speech,P7,search
Touch,P8,search
Touch,P7,search
Touch,P8,move document
Touch,P8,resize document
Touch,P8,resize document
Touch,P8,resize document
Touch,P8,move document
Touch,P8,select document
Touch,P8,resize document
Touch,P8,deselect document
Touch,P8,scroll
Touch,P7,mark sentence
Touch,P7,mark sentence
Touch,P7,select document
Touch,P7,assign tag
Touch,P8,move document
Touch,P8,open document
Touch,P7,clear sentence
Touch,P7,mark sentence
Touch,P7,close document
Touch,P7,open document
Touch,P7,close document
Touch,P8,move selected docs
Touch,P8,open document
Touch,P7,open document
Touch,P8,search
Touch,P8,clear search
Touch,P8,clear search
Touch,P8,search
Touch,P7,close document
Touch,P7,open document
Touch,P8,open document
Touch,P7,close document
Touch,P7,open document
Touch,P7,close document
Touch,P7,open document
Touch,P7,search
Touch,P8,scroll
Touch,P7,search
Speech,P7,sort
Touch,P7,open document
Touch,P7,mark sentence
Touch,P7,mark sentence
Touch,P7,mark sentence
Touch,P7,open document
Touch,P7,move document
Speech,P8,search
Speech,P8,search
Speech,P8,search
Touch,P7,move document
Touch,P8,search
Touch,P8,move document
Touch,P8,move document
Touch,P8,close document
Touch,P8,close document
Touch,P8,open document
Touch,P8,open document
Touch,P8,close document
Touch,P7,search
Touch,P7,search
Touch,P7,open document
Speech,P8,search
Touch,P8,close document
Touch,P8,close document
Touch,P8,close document
Touch,P8,close document
Touch,P8,close document
Touch,P8,close document
Touch,P8,open document
Touch,P8,close document
Touch,P8,open document
Touch,P8,open document
Touch,P7,mark sentence
Touch,P7,scroll
Touch,P8,open document
Touch,P7,open document
Touch,P7,resize document
Touch,P7,resize document
Touch,P7,move document
Touch,P7,resize document
Touch,P7,resize document
Touch,P7,resize document
Touch,P7,resize document
Touch,P7,scroll
Speech,P7,search
Speech,P7,deselect document
Speech,P7,deselect all
Touch,P7,search
Speech,P8,search
Speech,P8,search
Touch,P8,close document
Touch,P8,open document
Touch,P8,close document
Touch,P8,open document
Touch,P8,close document
Touch,P8,open document
Touch,P8,mark sentence
Touch,P8,mark sentence
Touch,P8,close document
Touch,P8,open document
Touch,P8,move document
Touch,P7,open document
Touch,P8,close document
Touch,P8,close document
Touch,P8,close document
Touch,P8,open document
Touch,P7,select document
Touch,P7,select document
Touch,P7,add tag
Touch,P7,assign tag
Touch,P8,close document
Touch,P8,move document
Touch,P8,open document
Touch,P8,scroll
Touch,P7,scroll
